Scoreset_Name	Needed_Runs
BARD1_unpublished	3220
SFPQ_unpublished	9983
TSC2_tuberin_unpublished	9893
XRCC2_unpublished	9893
TSC2_rapgap_unpublished	9894
G6PD_unpublished	9900
PALB2_unpublished	9928
CTCF_unpublished	9970
RAD51D_unpublished	9968
BRCA1_Adamovich_2022_Cisplatin	3959
BRCA1_Adamovich_2022_HDR	4368
BRCA1_Findlay_2018	6374
BRCA2_Hu_2024	7671
BRCA2_Sahu_2023_exon13_Cisplatin	7976
BRCA2_Sahu_2023_exon13_Olaparib	8518
BRCA2_Sahu_2023_exon13_SGE	8961
BRCA2_Sahu_2023_exon13_global_score	9113
BRCA2_Sahu_2025_HDR	9966
TP53_Fortuno_2021_Kato_meta	9950
TP53_Giacomelli_2018_combined_score	9947
TP53_Boettcher_2019	9970
TP53_Kato_2003_NOXAnWT	9881
TP53_Kato_2003_MDM2nWT	9886
TP53_Kato_2003_GADD45nWT	9890
TP53_Kato_2003_P53R2nWT	9891
TP53_Kato_2003_BAXnWT	9900
TP53_Kato_2003_h1433snWT	9900
TP53_Kato_2003_WAF1nWT	9904
TP53_Kato_2003_AIP1nWT	9910
TP53_Giacomelli_2018_p53null_etoposide	9920
TP53_Giacomelli_2018_p53null_Nutlin3	9930
TP53_Giacomelli_2018_p53WT_Nutlin3	9940
TP53_Fayer_2021_meta	9960
PTEN_Mighell_2018	0
PTEN_Matreyek_2018	9920
F9_Popp_2025_light_chain	9930
F9_Popp_2025_heavy_chain	9940
F9_Popp_2025_strep_2	9920
F9_Popp_2025_carboxy_gla_motif	9950
F9_Popp_2025_carboxy_F9_specific	9960
ASPA_Grønbæk-Thygesen_2024_abundance	0
ASPA_Grønbæk-Thygesen_2024_toxicity	321
BAP1_Waters_2024	1855
KCNH2_Jiang_2022	9890
KCNH2_Kozek_Glazer_2020	9890
TPK1_Weile_2017	9890
VHL_Buckley_2024	9890
KCNE1_Muhammad_2024_presence_of_WT	9900
KCNH2_O_Neill_2024_surface_expression	9902
FKRP_Ma_2024	9910
KCNE1_Muhammad_2024_potassium_flux	9910
HMBS_van_Loggerenberg_2023_ubquitous	9914
KCNE1_Muhammad_2024_absence_of_WT	9914
KCNQ4_Zheng_2022_current_homozygous	9914
JAG1_Gilbert_2024	9919
HMBS_van_Loggerenberg_2023_erythroid	9920
OTC_Lo_2023	9920
PAX6_McDonnell_2024_LE9_geneticin	9920
PAX6_McDonnell_2024_LE9_no_geneticin	9922
GCK_Gersing_2023_complementation	9926
HMBS_van_Loggerenberg_2023_combined	9930
NDUFAF6_Sung_2024	9930
PAX6_McDonnell_2024_BLX_no_geneticin	9930
GCK_Gersing_2024_abundance	9938
PAX6_McDonnell_2024_BLX_geneticin	9939
MSH2_Jia_2021	9940
RAD51C_Olvera-León_2024_z_score_D4_D14	9941
KCNQ4_Zheng_2022_v12_homozygous	0
LARGE1_Ma_2024	9950
SCN5A_Ma_2024_current_density	9961
DDX3X_Radford_2023_cLFC_day15	9966
CBS_Sun_2020_low_B6	9969
CBS_Sun_2020_high_B6	9970
SCN5A_Glazer_2020	9970
CHK2_Gebbia_2024	9972
RHO_Wan_2019	9972
CARD11_Meitlis_2020_Ibrutinib_no_introns	9975
CARD11_Meitlis_2020_DMSO_no_introns	9980
CRX_Shepherdson_2024	9980
TARDBP_Bolognesi_Faure_2019	9980
CALM1_CALM2_CALM3_Weile_2017	9990
SGCB_Li_2023	9990
